tweet_id,author,text,date,retweet_count,favorite_count
1,@client_free,"Bonjour @free, j'ai un problème avec ma connexion internet depuis ce matin. Pouvez-vous m'aider ?",2025-01-15 09:30:00,2,5
2,@user_mobile,"Super service client chez @free ! Problème résolu en 10 minutes. Merci !",2025-01-15 10:15:00,8,25
3,@tech_lover,"La nouvelle offre Free Mobile est vraiment intéressante. Bon rapport qualité-prix.",2025-01-15 11:00:00,15,42
4,@client_mecontent,"Encore une panne réseau @free... C'est la 3ème fois ce mois. Très déçu du service.",2025-01-15 11:30:00,3,8
5,@fan_free,"@free continue d'innover ! Bravo pour les nouvelles fonctionnalités de l'app mobile.",2025-01-15 12:00:00,12,38
6,@user_paris,"Connexion très lente à Paris 15ème depuis hier. @free quand est-ce que ça sera réparé ?",2025-01-15 12:30:00,1,4
7,@client_satisfait,"Ça fait 5 ans que je suis chez @free et toujours satisfait. Service fiable et prix correct.",2025-01-15 13:00:00,6,18
8,@geek_mobile,"Test de débit @free : 150 Mbps en download, 45 Mbps en upload. Très correct !",2025-01-15 13:30:00,9,31
9,@user_lyon,"Problème de réception mobile à Lyon centre. @free pouvez-vous vérifier vos antennes ?",2025-01-15 14:00:00,2,7
10,@client_nouveau,"Nouveau chez @free depuis 1 mois. Installation rapide et service client réactif. Recommande !",2025-01-15 14:30:00,4,16
11,@user_technique,"@free votre interface de gestion client est vraiment bien faite. Facile à utiliser.",2025-01-15 15:00:00,7,22
12,@client_urgent,"URGENT : Plus d'internet depuis 2h @free. Télétravail impossible. Besoin d'aide rapidement !",2025-01-15 15:30:00,5,12
13,@fan_innovation,"@free toujours à la pointe de la technologie. Hâte de voir les prochaines nouveautés !",2025-01-15 16:00:00,11,35
14,@user_marseille,"Excellente couverture 5G @free à Marseille. Navigation ultra rapide !",2025-01-15 16:30:00,8,28
15,@client_facture,"Question sur ma facture @free. Le service client m'a expliqué clairement. Merci !",2025-01-15 17:00:00,3,9
16,@user_comparaison,"Après avoir testé plusieurs opérateurs, @free reste le meilleur rapport qualité-prix.",2025-01-15 17:30:00,13,41
17,@client_box,"Ma Freebox fonctionne parfaitement depuis 3 ans. Aucun problème à signaler. @free",2025-01-15 18:00:00,6,19
18,@user_mobile_pro,"@free Pro : service adapté aux entreprises. Bon support technique et tarifs compétitifs.",2025-01-15 18:30:00,9,26
19,@client_decu,"Déception totale avec @free. Promesses non tenues et service client décevant.",2025-01-15 19:00:00,4,11
20,@user_recommande,"Je recommande @free à tous mes amis. Excellent service et prix imbattables !",2025-01-15 19:30:00,16,48
